2025.02.26 23:22:34 INFO  web[][o.s.p.ProcessEntryPoint] Starting Web Server
2025.02.26 23:22:40 INFO  web[][o.s.s.s.LogServerId] Server ID: 147B411E-AYbdahIFhdEuGBVav4fF
2025.02.26 23:22:40 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2025.02.26 23:22:40 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2025.02.26 23:22:41 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action saml/validation_init
2025.02.26 23:22:41 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2025.02.26 23:22:41 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2025.02.26 23:22:41 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/analysis_cache/get
2025.02.26 23:22:41 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2025.02.26 23:22:41 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/push/sonarlint_events
2025.02.26 23:22:41 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 2 elements
2025.02.26 23:22:41 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2025.02.26 23:22:41 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2025.02.26 23:22:41 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2025.02.26 23:22:41 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2025.02.26 23:22:41 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2025.02.26 23:22:41 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2025.02.26 23:22:41 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@2f11bf82 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@6e7b00d [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@18ebe436 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@7ac4db66 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@588b8613 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.SamlValidationRedirectionFilter@63d732d7 [pattern=UrlPattern{inclusions=[/oauth2/callback/saml], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@24daa0cf [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@781940d9 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@7f7bfd1c [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@65f0b748 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@37d31f23 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationInitAction@d46a2e6 [pattern=UrlPattern{inclusions=[/saml/validation_init], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationAction@5a3dcff1 [pattern=UrlPattern{inclusions=[/saml/validation], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.user.ws.ChangePasswordAction@7ca6ead7 [pattern=UrlPattern{inclusions=[/api/users/change_password], exclusions=[]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@263d2e1e [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2025.02.26 23:22:41 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2025.02.26 23:22:41 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2025.02.26 23:22:42 INFO  web[][o.s.s.p.Platform] Web Server is operational
2025.02.26 23:24:11 ERROR web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenterDeserializer] l10nru.25.1.sqVersions should be defined
2025.02.26 23:24:11 ERROR web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenterDeserializer] Plugin Russian Pack version 25.1 should declare compatible SQ versions
2025.02.26 23:24:11 ERROR web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenterDeserializer] l10nzh.24.12.sqVersions should be defined
2025.02.26 23:24:11 ERROR web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenterDeserializer] Plugin Chinese Pack version 24.12 should declare compatible SQ versions
2025.02.26 23:24:11 ERROR web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenterDeserializer] l10nzh.25.1.sqVersions should be defined
2025.02.26 23:24:11 ERROR web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenterDeserializer] Plugin Chinese Pack version 25.1 should declare compatible SQ versions
2025.02.26 23:24:11 ERROR web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenterDeserializer] openedge.2.30.0.sqVersions should be defined
2025.02.26 23:24:11 ERROR web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenterDeserializer] Plugin OpenEdge version 2.30.0 should declare compatible SQ versions
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'config' version : 1.2.0.267 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'flex' version : 2.8.0.3166 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'go' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'iac' version : 1.11.0.2847 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'jacoco' version : 1.3.0.1538 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'java' version : 7.16.0.30901 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 9.13.0.20537 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'kotlin' version : 2.12.0.1956 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'php' version : 3.27.1.9352 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'python' version : 3.24.0.10784 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'ruby' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'sonarscala' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'text' version : 2.0.1.611 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'vbnet' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'web' version : 3.7.1.3306 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'xml' version : 2.7.0.3820 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'config' version : 1.2.0.267 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'flex' version : 2.8.0.3166 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'go' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'iac' version : 1.11.0.2847 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'jacoco' version : 1.3.0.1538 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'java' version : 7.16.0.30901 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 9.13.0.20537 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'kotlin' version : 2.12.0.1956 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'php' version : 3.27.1.9352 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'python' version : 3.24.0.10784 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'ruby' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'sonarscala' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'text' version : 2.0.1.611 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'vbnet' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'web' version : 3.7.1.3306 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'xml' version : 2.7.0.3820 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'config' version : 1.2.0.267 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'flex' version : 2.8.0.3166 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'go' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'iac' version : 1.11.0.2847 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'jacoco' version : 1.3.0.1538 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'java' version : 7.16.0.30901 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 9.13.0.20537 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'kotlin' version : 2.12.0.1956 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'php' version : 3.27.1.9352 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'python' version : 3.24.0.10784 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'ruby' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'sonarscala' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'text' version : 2.0.1.611 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'vbnet' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'web' version : 3.7.1.3306 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'xml' version : 2.7.0.3820 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'config' version : 1.2.0.267 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'flex' version : 2.8.0.3166 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'go' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'iac' version : 1.11.0.2847 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'jacoco' version : 1.3.0.1538 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'java' version : 7.16.0.30901 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 9.13.0.20537 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'kotlin' version : 2.12.0.1956 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'php' version : 3.27.1.9352 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'python' version : 3.24.0.10784 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'ruby' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'sonarscala' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'text' version : 2.0.1.611 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'vbnet' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'web' version : 3.7.1.3306 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'xml' version : 2.7.0.3820 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'config' version : 1.2.0.267 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'flex' version : 2.8.0.3166 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'go' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'iac' version : 1.11.0.2847 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'jacoco' version : 1.3.0.1538 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'java' version : 7.16.0.30901 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 9.13.0.20537 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'kotlin' version : 2.12.0.1956 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'php' version : 3.27.1.9352 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'python' version : 3.24.0.10784 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'ruby' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'sonarscala' version : 1.11.0.3905 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'text' version : 2.0.1.611 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'vbnet' version : 8.51.0.59060 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'web' version : 3.7.1.3306 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'xml' version : 2.7.0.3820 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'config' version : 1.2.0.267 has not been found on the update center.
2025.02.26 23:24:11 INFO  web[AZVEkuuGBYsumHRvAAAW][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.51.0.59060 has not been found on the update center.
